"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA.x","Length","QSS","n.unique","n.unique.affordance","total.affordance","Category","Living","Thought","Repro","Person","Goals","Move","LivingN","ThoughtN","ReproN","PersonN","GoalsN","MoveN","CNC","FAM","IMG","AVAIL","MNG","VAL","ARO","DOM","AoA.y","LEN","OrthoN","PhonoN","NSyll","SUBTLWF","SUBTLCD","AnimMental","AnimPhysical","X"
"ashcan",24,4.571428571,4.78,0.9031,10.67,6,NA,31,24,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ashtray",30,5.44,4.97,2.2227,5.95,7,8,32,27,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asparagus",38,5.56,4.96,1.7076,6.79,9,NA,28,27,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ass",40,5.304347826,4.67,4.0624,7.84,3,13,32,25,62,"Q",542,325,485,331,196,538,24,24,26,26,28,24,603,644,600,1,13,5.45,5.43,3.61,7.84,3,7,17,1,226.37,40.28,291,516,NA
"assassin",24,4.32,4.43,2.4814,11.28,8,NA,27,26,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"assemblyman",24,4.72,3.74,1.5798,12.89,11,NA,29,24,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asshole",35,4.5,4.08,3.4973,9.52,7,NA,33,28,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"astronaut",48,4.357142857,4.75,2.3075,6.28,9,11,29,22,57,"H P",668,686,584,672,662,640,25,22,25,25,26,25,540,668,612,0.48,11,6.73,4.4,5.32,6.28,9,0,0,3,3.96,1.18,700,649,NA
"athlete",43,4.916666667,4.3,2.3729,7.11,7,18,25,22,67,"H P",673,645,622,628,636,626,26,20,23,25,25,27,545,482,591,1.2,18,6.21,4.75,5.96,7.11,7,0,0,2,4.61,2.25,651,658,NA
"atlas",33,5.166666667,4.79,NA,7.9,5,10,26,23,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"attendant",39,5.083333333,4.44,2.2014,9.79,9,NA,25,22,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"attire",36,5.086956522,4.47,1.8865,11.22,6,6,29,22,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"attorney",30,4.72,4.52,3.3141,10.95,8,12,32,24,53,"H P",661,648,626,622,661,529,28,23,23,23,28,21,500,676,372,0.7,12,3.67,4.8,5.53,10.95,8,1,2,3,40.39,11.09,658,649,NA
"auditorium",34,4.392857143,4.7,1.9085,6.94,10,NA,31,26,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aunt",35,5.041666667,4.17,NA,3.8,4,3,33,24,59,"H R",700,664,600,643,438,484,27,22,24,21,24,25,564,554,567,0.9,3,6.56,2.71,4.28,3.8,4,6,11,1,55.2,11.37,625,677,NA
"author",44,4.4,4.26,2.6085,7.1,6,8,30,27,83,"H P",681,650,589,644,612,526,27,28,27,27,26,23,502,554,460,0.85,8,6.33,2.73,6.38,7.1,6,0,4,2,7.94,2.99,658,650,NA
"auto",29,4.391304348,4,2.5933,7.22,4,7,34,23,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"automobile",59,5.64,4.96,2.4654,7.11,10,8,26,23,98,"V",146,141,137,138,315,600,26,27,27,24,20,24,607,456,628,0.3,8,5.45,3.91,6,7.11,10,0,0,4,5.71,2.3,208,160,NA
"automotive",37,4.454545455,4.19,1.5315,7.89,10,NA,27,24,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avocado",36,6.24137931,4.89,1.7993,9.29,7,NA,30,28,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"awning",33,4.565217391,4.61,1.3979,11.06,6,NA,28,27,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"axe",34,6.153846154,5,2.3979,6.11,3,NA,97,93,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"axle",27,4.904761905,4.5,1.8062,10.85,4,NA,33,20,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"azalea",28,5.263157895,4.4,0.8451,13,6,NA,28,18,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"babe",29,4.555555556,3.67,3.2589,6.61,4,NA,28,21,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"baby",57,6.285714286,5,4.4146,3.84,4,19,28,26,97,"H D",700,486,261,648,400,574,27,28,28,23,23,27,589,597,608,1.95,19,6.67,4.97,4.94,3.84,4,2,13,2,509.37,60.66,541,527,NA
"backboard",33,4.565217391,4.93,1.3979,8.63,9,NA,29,23,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"backbone",39,4.64,4.19,1.9294,6.95,8,14,34,28,63,"B",354,129,157,293,248,426,24,24,21,27,23,23,516,640,496,0,14,5.16,4.05,6.4,6.95,8,0,0,2,1.65,0.93,206,255,NA
"backdoor",16,5.2,4.5,1.4914,6.11,8,NA,26,21,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
