Cue,Target,AFS,AFP,AFSS,FSG,COS,BOI,Concrete,SUBTLEX,AoA,Length,QSS,n,n.affordance,affordance_count
billiards,play,0.365384615,0.612903226,25,NA,NA,4.925925926,4.61,1.5315,10.63,9,NA,31,28,52
bin,store,0.263888889,0.542857143,28,NA,NA,5.260869565,4.72,2.4393,4.68,3,NA,35,29,64
binoculars,see,0.201923077,0.567567568,42,NA,NA,6.16,5,1.9085,6.79,10,NA,37,36,105
biologist,study,0.24137931,0.466666667,25,0.02,NA,4.48,3.96,1.8129,10.9,9,21,30,22,55
bird,fly,0.158536585,0.382352941,38,0.212,0.139741268,4.896551724,5,3.3653,3.52,4,23,34,32,79
birdbath,wash,0.122807018,0.259259259,27,NA,NA,4.916666667,4.96,1.0414,5.95,8,NA,27,23,61
birdseed,feed,0.329113924,0.764705882,25,NA,NA,5.739130435,4.96,1.2788,6.7,8,NA,34,28,77
birthmark,identify,0.228571429,0.285714286,22,NA,NA,4.333333333,4.35,1.9345,6.85,9,NA,28,21,34
biscuit,eat,0.297619048,0.806451613,36,0.023,0.136493213,5.964285714,4.9,NA,4.63,7,22,31,27,82
bistro,eat,0.23880597,0.615384615,31,NA,NA,4.518518519,4.44,1.6721,11.79,6,NA,26,23,62
blackberry,eat,0.273809524,0.676470588,36,NA,NA,5.416666667,4.97,1.5911,8.95,10,16,34,25,80
blackboard,write,0.306666667,0.793103448,26,0.02,NA,5.392857143,4.72,1.7853,5.42,10,9,29,29,69
blackhead,pop,0.19047619,0.173913043,24,NA,NA,4.739130435,4.71,0.699,10.83,9,NA,46,38,81
blade,cut,0.288,0.947368421,39,0.031,0.400839829,5.833333333,4.93,2.8222,6.72,5,9,38,36,120
blanket,warm,0.184210526,0.518518519,31,0.331,NA,6.56,5,2.8215,3.61,7,9,27,24,77
blazer,wear,0.37037037,0.909090909,28,NA,NA,5.652173913,4.79,1.7993,9.6,6,NA,33,32,74
bleach,clean,0.314606742,1,32,0.021,NA,5.32,4.74,2.0755,8,6,15,28,26,84
bleacher,sit,0.288135593,0.944444444,43,NA,NA,5.083333333,4.14,NA,NA,8,NA,36,34,111
blender,blend,0.13559322,0.296296296,30,NA,0.350406311,5.739130435,5,1.9345,6.84,7,17,27,24,62
blindfold,cover,0.147058824,0.303030303,37,NA,NA,5.125,4.57,1.9494,8.11,9,NA,33,31,66
blister,pop,0.185185185,0.3125,29,NA,NA,5.2,4.71,1.6902,6.74,7,NA,32,23,48
block,build,0.174418605,0.46875,45,NA,0.163127217,5.413793103,4.48,3.3156,4.79,5,27,32,26,82
bloke,talk,0.136363636,0.24,31,NA,NA,4.541666667,3.89,2.3784,13.88,5,NA,25,20,45
blood,test,0.074626866,0.161290323,41,NA,NA,5.32,4.86,3.9774,4.89,5,20,31,27,64
bloodhound,hunt,0.112244898,0.305555556,44,NA,NA,4.833333333,4.76,1.7076,11.32,10,NA,36,30,87
bloomers,wear,0.211267606,0.517241379,41,NA,NA,4.4,4.26,1.3979,9.24,8,NA,29,22,73
blouse,wear,0.292134831,0.8125,39,0.013,NA,6.47826087,4.96,2.4362,6.65,6,11,32,31,82
blower,blow,0.254901961,0.464285714,24,NA,NA,4.48,4.07,1.2553,8.32,6,NA,28,26,43
blowgun,blow,0.101694915,0.222222222,37,NA,NA,4.625,4.83,0.6021,10.89,7,NA,27,23,54
