"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL","I_Zscore"
"1","compass","7","1,898","7.549","-0.558"
"1","compost","7","849","6.744","-0.033"
"1","compressor","10","1,681","7.427","-0.080"
"1","computer","8","253,358","12.443","-0.608"
"1","concert","7","12,029","9.395","-0.572"
"1","conch","5","1,475","7.296","0.220"
"1","concrete","8","7,961","8.982","-0.329"
"1","condiment","9","101","4.615","-0.106"
"1","conditioner","11","772","6.649","-0.122"
"1","condom","6","2,871","7.962","-0.405"
"1","condominium","11","258","5.553","0.546"
"1","conductor","9","2,080","7.640","-0.462"
"1","cone","4","3,540","8.172","-0.458"
"1","confetti","8","184","5.215","0.039"
"1","congresswoman","13","136","4.913","0.288"
"1","container","9","5,355","8.586","-0.528"
"1","contraceptive","13","394","5.976","0.415"
"1","controller","10","31,092","10.345","-0.452"
"1","cookbook","8","2,402","7.784","-0.555"
"1","cookie","6","2,953","7.991","-0.820"
"1","cooler","6","2,564","7.849","-0.645"
"1","cop","3","11,145","9.319","-0.695"
"1","copier","6","984","6.892","-0.535"
"1","copilot","7","79","4.369","0.472"
"1","copper","6","8,817","9.084","-0.668"
"1","copybook","8","31","3.434","0.061"
"1","cord","4","4,635","8.441","-0.472"
"1","corduroy","8","195","5.273","0.410"
"1","cork","4","1,394","7.240","-0.573"
"1","corkscrew","9","212","5.357","-0.068"
"1","corn","4","4,988","8.515","-0.853"
"1","cornbread","9","140","4.942","-0.129"
"1","cornfield","9","43","3.761","-0.091"
"1","cornflakes","10","164","5.100","-0.220"
"1","cornflower","10","44","3.784","0.246"
"1","cornmeal","8","270","5.598","0.010"
"1","cornstarch","10","452","6.114","-0.009"
"1","corridor","8","2,970","7.996","-0.166"
"1","corsage","7","30","3.401","0.723"
"1","corset","6","656","6.486","0.156"
"1","corvette","8","1,511","7.321","-0.012"
"1","cosmetics","9","814","6.702","-0.346"
"1","costume","7","3,384","8.127","-0.484"
"1","costumer","8","93","4.533","-0.032"
"1","cottage","7","1,318","7.184","-0.429"
