"cue","response","AFSS"
"arm","stretch",32
"arm","tattoo",32
"arm","wear",32
"arm","block",32
"arm","grab",32
"arm","push",32
"arm","swing",32
"arm","hug",32
"arm","carry",32
"arm","grasp",32
"arm","hold",32
"arm","flex",32
"arm","raise",32
"arm","write",32
"arm","twist",32
"arm","twirl",32
"arm","extend",32
"arm","shorten",32
"arm","bend",32
"arm","pick up",32
"arm","wipe",32
"arm","look",32
"armband","add",11
"armband","color",11
"armband","swim",11
"armband","throw",11
"armband","buy",11
"armband","sell",11
"armband","wear",11
"armband","decorate",11
"armband","represent",11
"armband","shoot",11
"armband","look",11
"armoire","store",15
"armoire","decorate",15
"armoire","keep",15
"armoire","protect",15
"armoire","wear",15
"armoire","open",15
"armoire","search",15
"armoire","tidy",15
"armoire","close",15
"armoire","hang",15
"armoire","rest",15
"armoire","hide",15
"armoire","style",15
"armoire","board",15
"armoire","entertain",15
"armor","protect",14
"armor","demonstrate",14
"armor","decorate",14
"armor","wear",14
"armor","sell",14
"armor","war",14
"armor","display",14
"armor","prevent",14
"armor","damage",14
"armor","defense",14
"armor","polish",14
"armor","impress",14
"armor","touch",14
"armor","draw",14
"armpit","wash",12
"armpit","clean",12
"armpit","spray",12
"armpit","shave",12
"armpit","scratch",12
"armpit","sniff",12
"armpit","hide",12
"armpit","deodoirze",12
"armpit","smell",12
"armpit","warm",12
"armpit","check",12
"armpit","deodorize",12
"arrow","shoot",12
"arrow","hunt",12
"arrow","throw",12
"arrow","weapon",12
"arrow","kill",12
"arrow","battle",12
"arrow","practice",12
"arrow","compete",12
"arrow","violence",12
"arrow","sign",12
"arrow","leave",12
"arrow","point",12
"arrowhead","throw",23
"arrowhead","shoot",23
"arrowhead","hunt",23
"arrowhead","cut",23
"arrowhead","carve",23
"arrowhead","perform",23
"arrowhead","surgery",23
"arrowhead","decorate",23
"arrowhead","weapon",23
"arrowhead","reminder",23
"arrowhead","dig",23
"arrowhead","engrave",23
"arrowhead","hold",23
"arrowhead","attach",23
"arrowhead","fire",23
"arrowhead","kill",23
"arrowhead","prey",23
"arrowhead","point",23
"arrowhead","mark",23
"arrowhead","scratch",23
"arrowhead","message",23
"arrowhead","slice",23
"arrowhead","spear",23
"artichoke","eat",19
"artichoke","chop",19
"artichoke","cook",19
"artichoke","slice",19
"artichoke","bake",19
"artichoke","process",19
"artichoke","grow",19
"artichoke","boil",19
"artichoke","fry",19
"artichoke","blanch",19
"artichoke","season",19
"artichoke","plate",19
"artichoke","broil",19
"artichoke","plant",19
"artichoke","throw",19
"artichoke","dip",19
"artichoke","harvest",19
"artichoke","steam",19
"artichoke","peel",19
"artifact","keep",15
"artifact","sell",15
"artifact","donate",15
"artifact","display",15
"artifact","analyze",15
"artifact","observe",15
"artifact","take",15
"artifact","report",15
"artifact","find",15
"artifact","research",15
"artifact","learn",15
"artifact","hold",15
"artifact","throw",15
"artifact","inspect",15
"artifact","decorate",15
"artist","create",14
"artist","paint",14
"artist","draw",14
"artist","sculpt",14
"artist","sell",14
"artist","critique",14
"artist","color",14
"artist","water color",14
"artist","hire",14
"artist","admire",14
"artist","ask",14
"artist","question",14
"artist","enjoy",14
"artist","relaxe",14
"ash","store",7
"ash","create",7
"ash","reincarnate",7
"ash","build",7
"ash","gravel",7
"ash","spread",7
"ash","coat",7
"ashcan","throw",5
"ashcan","hold",5
"ashcan","cover",5
"ashcan","put out",5
"ashcan","conceal",5
"ashtray","hold",13
"ashtray","throw",13
"ashtray","safety",13
"ashtray","store",13
"ashtray","clean",13
"ashtray","dispose",13
"ashtray","wash",13
"ashtray","empty",13
"ashtray","smoke",13
"ashtray","collect",13
"ashtray","stubb",13
"ashtray","trash",13
"ashtray","break",13
"asparagus","food",12
"asparagus","eat",12
"asparagus","poke",12
"asparagus","boil",12
"asparagus","steam",12
"asparagus","decorate",12
"asparagus","cook",12
"asparagus","fry",12
"asparagus","bake",12
"asparagus","stew",12
"asparagus","grow",12
"asparagus","destroy",12
"ass","transport",22
"ass","figure",22
"ass","fun",22
"ass","kick",22
"ass","ride",22
"ass","feed",22
"ass","carry",22
"ass","cuddle",22
"ass","race",22
"ass","dance",22
"ass","sex",22
"ass","shake",22
"ass","slap",22
"ass","fondle",22
"ass","clean",22
"ass","stroke",22
"ass","watch",22
"ass","travel",22
"ass","kill",22
"ass","eat",22
"ass","drag",22
"ass","pet",22
"assassin","incite",7
"assassin","admire",7
"assassin","watch",7
"assassin","kill",7
"assassin","hire",7
"assassin","avoid",7
"assassin","become",7
"assemblyman","help",12
"assemblyman","build",12
"assemblyman","assemble",12
"assemblyman","hire",12
"assemblyman","speak",12
"assemblyman","pay",12
"assemblyman","talk",12
"assemblyman","learn",12
"assemblyman","vote",12
"assemblyman","labor",12
"assemblyman","ask",12
"assemblyman","watch",12
"asshole","excrete",20
"asshole","shit",20
"asshole","sex",20
"asshole","suppository",20
"asshole","fart",20
"asshole","kick",20
"asshole","kiss",20
"asshole","touch",20
"asshole","tattoo",20
"asshole","lick",20
"asshole","poop",20
"asshole","defecate",20
"asshole","clean",20
"asshole","insult",20
"asshole","enter",20
"asshole","sit",20
"asshole","wipe",20
"asshole","pass",20
"asshole","fun",20
"asshole","poo",20
"astronaut","enlighten",33
"astronaut","educate",33
"astronaut","learn",33
"astronaut","adventure",33
"astronaut","aspire",33
"astronaut","see",33
"astronaut","watch",33
"astronaut","touch",33
"astronaut","mimic",33
"astronaut","record",33
"astronaut","love",33
"astronaut","admire",33
"astronaut","inspire",33
"astronaut","follow",33
"astronaut","tweet",33
"astronaut","write",33
"astronaut","fly",33
"astronaut","exercise",33
"astronaut","perform",33
"astronaut","check",33
"astronaut","discover",33
"astronaut","research",33
"astronaut","space travel",33
"astronaut","land",33
"astronaut","observe",33
"astronaut","talk",33
"astronaut","travel",33
"astronaut","inquire",33
"astronaut","think",33
