"cues","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","QSS","Animacy","n.unique","n.unique.affordance","total.affordance"
"liquid",47,5.260869565,4.72,2.5977,5.83,6,14,NA,32,31,139
"liquor",25,5.961538462,4.73,2.946,8.4,6,18,115,27,25,59
"litter",33,5.034482759,4.47,2.3032,7.61,6,13,188,34,27,81
"livestock",25,5.041666667,4.7,2.0128,7.89,9,NA,NA,27,20,44
"lizard",24,4.925925926,4.68,2.3945,5.42,6,21,672,30,25,56
"llama",43,4.75,4.78,1.8633,8.61,5,NA,NA,35,32,91
"loaf",20,4.458333333,4.79,2.3598,6.84,4,8,118,33,21,52
"lobbyist",47,4.4,3.71,1.3617,13.28,8,NA,NA,34,24,61
"lobe",32,4.47826087,4.44,1.9823,10.17,4,3,NA,29,20,44
"lobster",37,4.92,4.86,2.574,7.44,7,23,650,28,24,72
"lock",24,5.173913043,4.65,3.4603,5.74,4,14,100,27,22,56
"locker",17,5.538461538,4.67,2.9117,8.22,6,NA,NA,32,29,65
"locket",30,5.333333333,4.82,1.9445,8.35,6,NA,NA,39,32,71
"locksmith",28,4.8,4.54,1.7243,9.58,9,NA,NA,35,33,64
"lodge",47,4.833333333,4,2.534,8.26,5,21,108,33,30,83
"lodging",29,4.620689655,4.37,1.6435,NA,7,NA,NA,33,30,62
"log",30,5.692307692,4.96,2.786,6.74,3,9,168,28,26,73
"logbook",39,5.565217391,4.54,1.2041,12.22,7,NA,NA,38,32,84
"loin",38,4.391304348,4.38,1.2788,11.06,4,NA,NA,31,25,59
"loincloth",28,4.833333333,4.88,1,9.67,9,NA,NA,31,22,50
"lollipop",33,6.48,4.96,1.9638,3.89,8,10,NA,25,23,76
"longbow",27,5.285714286,4.96,0.9031,13.39,7,NA,NA,33,28,57
"loo",30,4.952380952,4.2,2.0864,12.69,3,NA,NA,27,22,62
"lotion",48,6.28,4.79,2.2227,5.83,6,NA,NA,38,35,89
"loudspeaker",29,4.625,4.82,1.6812,10,11,NA,NA,26,22,44
"lounge",41,4.714285714,3.96,2.6042,9.53,6,14,NA,30,27,92
"lounger",27,4.692307692,4.04,0.6021,9.82,7,NA,NA,29,29,81
"lovebird",30,4.4,4.62,0.7782,8.44,8,NA,NA,27,20,46
"lozenge",36,5.4,4.59,0.9542,9,7,NA,NA,26,24,62
"lubricant",21,5.76,4.52,1.5563,11.11,9,NA,NA,28,24,38
"lubrication",30,4.333333333,3.62,1.1461,12.95,11,NA,NA,28,25,47
"luggage",31,5.304347826,4.83,2.7543,7.63,7,15,NA,33,32,97
"lumber",48,5.217391304,4.56,2.1038,7.33,6,8,NA,35,31,104
"lump",37,4.5,4.56,2.2601,5.89,4,16,NA,28,22,48
"lunch",34,6.043478261,4.31,3.7252,3.61,5,17,196,27,26,82
"lunchroom",46,4.565217391,4.63,1.2553,5.37,9,NA,NA,27,26,90
"lyre",24,4.45,4.23,0.699,13.47,4,NA,NA,29,26,49
"macaroni",31,5.62962963,4.97,2.2227,5.15,8,7,122,28,24,81
"macaroon",52,4.346153846,4.96,0.7782,NA,8,NA,NA,37,33,115
"mace",40,5.12,4.81,2.2529,12.47,4,NA,NA,26,26,77
"machete",34,5.791666667,4.82,1.7324,9.6,7,NA,NA,60,56,163
"machine",47,5.791666667,4.25,3.5544,6.53,7,17,126,28,24,78
"machinery",35,5.416666667,4.75,2.2742,10.28,9,NA,NA,35,29,75
"magazine",45,6.166666667,5,3.2289,5.89,8,13,105,35,32,102
"maggot",27,4.44,4.97,1.9138,9.5,6,17,NA,26,21,36
"magician",36,4.5,4.21,2.5922,5.37,8,12,655,34,30,67
"magnet",24,5.615384615,4.7,2.1492,6.1,6,13,100,28,25,44
"magnolia",22,5.416666667,4.71,1.5682,9.89,8,NA,NA,27,20,58
"maid",34,4.458333333,4.64,3.0663,6.95,4,20,663,37,35,81
"maiden",32,4.44,4.24,2.4518,9.58,6,22,NA,26,21,46
"maidservant",27,4.333333333,4.39,0.8451,12,11,NA,NA,30,27,71
"mail",50,6.125,4.69,3.2742,4.65,4,15,NA,33,30,107
"mailbag",31,5.041666667,4.89,0.7782,6.25,7,NA,NA,37,31,76
"maize",30,5.416666667,4.58,1,9.59,5,NA,NA,33,26,54
"makeup",57,6,4.45,2.8982,7.94,6,21,NA,37,36,111
"male",53,5.5,4.45,3.2385,5.63,4,5,650,32,28,79
"mall",32,4.36,4.83,2.9845,6.78,4,8,NA,37,33,92
"mallard",35,4.772727273,4.27,1.301,9.94,7,NA,NA,24,23,71
"mallet",33,5.56,4.93,1.5563,10.94,6,NA,NA,28,24,59
"mammal",59,5.291666667,4.59,1.7993,7.39,6,18,663,33,26,84
"man",72,5.346153846,4.79,4.9737,3.11,3,9,688,34,25,114
"mandolin",38,5.304347826,4.76,1.3979,12.39,8,NA,NA,29,28,76
"mango",35,6.24,5,1.9294,8.22,5,NA,NA,33,28,91
"manhole",37,4.72,4.7,1.5911,6.83,7,NA,NA,33,26,58
"manicure",45,4.730769231,4.39,2.0086,10.56,8,NA,NA,35,28,63
"manicurist",44,4.916666667,4.11,1.5051,11.72,10,NA,NA,27,20,63
"mannequin",33,4.48,4.53,1.7993,9.24,9,NA,NA,35,30,62
"mansion",37,4.52173913,4.89,2.5185,7.2,7,12,129,59,49,177
"mantel",25,5,4.64,1.5911,7.72,6,NA,NA,26,22,46
"mantelpiece",26,4.285714286,3.76,1.2788,11,11,NA,NA,28,25,56
"mantle",27,4.807692308,4.57,2.0453,9.17,6,NA,NA,30,25,59
"manure",34,4.708333333,4.64,2.0294,10.1,6,NA,NA,26,25,68
"manuscript",32,5.083333333,4.57,2.1399,12.12,10,NA,NA,26,21,55
"map",39,5.481481481,4.93,3.2106,5.6,3,16,100,28,25,71
"maple",39,4.32,4.46,2.2201,5.94,5,6,404,34,22,59
"marble",37,5.48,4.85,2.4265,7.05,6,22,104,34,28,78
"marbles",28,5.75,4.96,2.1931,NA,7,NA,NA,27,22,64
"margarine",15,5.56,4.58,1.5185,8.5,9,4,NA,26,25,57
"marigold",38,4.75,4.59,0.9542,8.47,8,NA,NA,28,26,89
"marijuana",40,6.04,4.89,2.4346,10.89,9,10,370,38,33,80
"marionette",34,4.333333333,4.63,0.9031,9.89,10,NA,NA,27,24,57
"marketeer",31,4.5,3.71,0.4771,NA,9,NA,NA,30,25,56
"marksman",29,4.291666667,4.12,1.8751,10.83,8,NA,NA,28,23,43
"marmalade",23,6.041666667,4.83,1.7243,10.39,9,NA,NA,35,28,66
"marshmallow",43,6.173913043,4.85,1.8921,3.8,11,NA,NA,38,37,124
"mascara",21,5.703703704,4.93,1.8129,9.21,7,11,NA,26,21,49
"mascot",34,4.32,4.2,1.9294,9.5,6,NA,NA,28,20,43
"mask",28,5.92,4.96,3.0048,4.8,4,12,100,25,24,67
"masseuse",26,5.086956522,4.56,1.8633,11.22,8,NA,NA,56,53,119
"mat",42,5.814814815,4.83,2.2529,4.62,3,12,NA,33,29,84
"match",23,4.565217391,4.14,3.4017,5.72,5,18,NA,26,21,49
"matchbox",18,5.875,4.78,1.301,6.52,8,NA,NA,29,26,43
"matchstick",29,6.103448276,4.96,0.301,6.74,10,NA,NA,35,32,86
"mathematician",37,4.272727273,4.38,1.699,9.17,13,NA,NA,28,25,68
"mattress",36,6.72,5,2.5289,5.1,8,10,127,27,24,74
"mayonnaise",34,5.523809524,4.9,2.0645,6.1,10,17,NA,68,55,161
"mayor",38,4.28,4.37,3.203,8.28,5,20,663,31,27,66
"me",88,5.708333333,4.33,5.6733,3.28,2,12,NA,29,24,171
"meadow",39,4.391304348,4.86,2.0682,6.89,6,16,369,30,23,65
"meal",44,5.958333333,4.62,3.1682,4.74,4,6,NA,27,25,91
"meat",31,5.52173913,4.9,3.3477,4.42,4,17,227,25,23,78
"medal",43,5.608695652,4.89,2.7716,6.83,5,14,NA,32,26,75
"medallion",34,5.541666667,4.68,1.8388,10.26,9,NA,NA,26,23,65
"medic",30,5.217391304,4.43,2.4654,11.17,5,NA,NA,60,51,112
"medicine",48,5.692307692,4.79,3.2418,4.89,8,27,156,60,54,184
"megaphone",20,6.2,4.76,1.2041,10.2,9,NA,NA,27,24,50
"melon",45,5.681818182,4.78,2.3404,4.21,5,NA,NA,32,31,101
"memo",39,5.04,4.25,2.5289,11.39,4,NA,NA,37,28,73
"memorabilia",38,4.434782609,4.15,1.415,11.16,11,NA,NA,28,26,86
"men",35,5.72,4.75,4.279,NA,3,10,NA,26,19,57
"mentor",46,4.347826087,3.7,2.2529,11.37,6,NA,NA,34,32,86
"menu",34,5.869565217,4.67,2.7067,5.89,4,NA,NA,35,29,75
"merchandise",32,5.833333333,4.52,2.3909,9.26,11,NA,NA,27,24,79
"merchant",22,4.5,4.31,2.1673,9.8,8,NA,NA,31,26,55
"merchantman",19,4.5,4.19,0.4771,11.12,11,NA,NA,32,29,59
"metal",32,5.130434783,4.87,2.9969,5.61,5,16,NA,30,21,56
"metalworker",29,4.8,4.18,0.4771,11,11,NA,NA,25,20,39
"meteorologist",31,4.875,4.56,1.0792,8.89,13,NA,NA,27,23,44
"mice",35,5,4.84,2.5263,NA,4,15,NA,28,25,64
"microphone",40,6.043478261,4.88,2.3674,6.25,10,18,NA,28,27,73
"microscope",32,5.721024259,5,2.1139,9.16,10,19,119,28,27,66
"microwave",24,5.28,4.34,2.301,7.67,9,14,NA,27,26,55
"midget",39,4.821428571,4.4,2.3729,9.2,6,8,670,26,20,52
"midwife",36,5,4.56,1.4771,10.89,7,NA,NA,32,27,67
"milk",20,5.956521739,4.92,3.3365,3.37,4,18,167,27,25,83
"milkshake",35,6.4,4.97,1.6335,4.89,9,NA,NA,30,29,107
"mincemeat",27,5.083333333,4.36,1.3617,12.06,9,NA,NA,28,25,59
"minister",38,4.84,4.22,2.9741,7.42,8,12,640,37,30,74
"mink",31,4.904761905,4.58,2.2788,10.32,4,7,526,33,21,48
"minnow",14,4.416666667,4.84,1.1761,9.06,6,NA,NA,26,22,38
"mint",34,5.76,4.54,2.444,5.94,4,24,NA,33,29,84
"mirror",30,6.086956522,4.97,3.0913,4.89,6,8,116,26,23,68
"mistletoe",18,4.592592593,4.85,1.9956,9.65,9,NA,NA,34,32,70
"mistress",46,5,4.22,2.7832,11.72,8,NA,NA,33,27,62
"mitt",22,6.08,4.76,1.8513,6.83,4,NA,NA,36,27,62
"mitten",22,6.041666667,4.89,1.3802,4.72,6,9,NA,27,24,46
"mixer",35,5,4.33,1.7482,7.05,5,NA,NA,37,34,82
"moccasin",20,5.458333333,4.78,0.4771,11.22,8,NA,NA,26,24,57
"model",28,5.086956522,4.53,3.2138,5.83,5,20,454,27,21,39
"molasses",33,5,4.84,1.7243,8.95,8,16,167,35,34,82
"mommy",38,5.434782609,4.07,3.5585,2.5,5,NA,NA,26,24,72
"money",36,6.291666667,4.54,4.5143,5.11,5,19,NA,29,28,89
"moneybags",39,5,3.85,1.1461,9.32,9,NA,NA,39,35,91
"mongoose",42,4.5,4.89,1.5315,9.94,8,8,NA,32,23,63
"monk",45,5.173913043,4.35,2.5763,10.29,4,8,676,39,33,69
"monument",46,4.52,4.58,2.0719,8.45,8,17,116,28,21,70
"moonshine",35,5.260869565,4.46,1.699,9.22,9,NA,NA,28,25,70
"mop",24,6.192307692,4.97,2.3263,5.11,3,13,NA,26,23,45
"morsel",24,4.833333333,4.19,1.5185,8.78,6,NA,NA,33,20,37
"mortician",27,4.833333333,4.3,1.5051,10.2,9,NA,NA,30,20,43
"mosquito",40,4.4,4.88,1.9731,6.1,8,10,677,31,30,73
"moss",37,4.565217391,4.9,2.1644,8.31,4,11,NA,25,21,54
"motel",37,4.48,4.93,2.9675,7.11,5,13,NA,31,28,78
"moth",33,4.84,4.69,2.0682,5.74,4,14,665,25,20,42
"mothball",24,5.12,4.62,0.7782,8.32,8,NA,NA,30,22,47
"mother",47,5.52,4.6,4.3888,2.63,6,13,696,24,23,76
"motor",37,4.92,4.84,2.8274,7.42,5,13,137,30,24,75
"motorbike",36,6.347826087,4.79,1.5911,7.95,9,NA,NA,26,25,61
"motorboat",40,5.304347826,4.93,1.4771,6.53,9,NA,NA,34,31,79
"motorcycle",41,5.555555556,4.97,2.659,5.05,10,20,NA,32,30,88
"motorcyclist",48,4.52,4.79,1.1461,7.17,12,NA,NA,25,21,55
"motorist",35,5.12,4.72,1.415,7.74,8,NA,NA,36,31,59
"mountain",37,4.307692308,4.96,3.2567,6.15,8,17,204,26,26,84
"mountainside",47,4.708333333,4.48,1.1761,7.53,12,NA,NA,26,24,88
"mouse",25,5.24,4.83,2.9894,4.94,5,10,670,27,23,50
"mousetrap",17,4.916666667,5,1.4914,6.78,9,NA,NA,25,24,50
"mousse",29,5.260869565,4.83,1.7782,10.32,6,14,NA,28,21,45
"moustache",36,5.347826087,4.96,2.2878,5.4,9,NA,NA,28,25,66
"mouth",36,6.304347826,4.74,3.7264,3.58,5,19,513,26,26,105
"mouthpiece",36,5.304347826,4.66,1.6812,10.6,10,NA,NA,28,24,60
"mouthwash",27,6.230769231,4.67,1.699,7.32,9,NA,NA,27,24,61
"mucus",25,4.88,4.76,1.4914,9.56,5,NA,NA,57,39,82
"mud",31,5.56,4.86,2.8791,4.05,3,10,135,25,20,51
"muffin",30,5.875,4.78,2.4742,5.11,6,14,160,30,30,72
"muffler",35,4.75,4.68,1.716,9.5,7,NA,NA,30,23,49
"mug",38,6.13900135,4.8,2.5441,5.15,3,9,100,27,24,78
"mulberry",48,4.703703704,4.48,1.5051,8.88,8,NA,NA,29,22,91
"mulch",24,4.625,4.59,1.3617,9.22,5,NA,NA,30,25,41
"mule",37,4.318181818,5,2.5551,5.65,4,11,652,26,24,61
"mullet",22,4.518518519,4.78,1.4771,11.67,6,NA,NA,60,43,98
"mum",39,4.416666667,4.11,3.0449,7.47,3,NA,NA,29,27,65
"munitions",34,4.80952381,3.82,1.8129,NA,9,NA,NA,30,22,57
"muscle",55,5.12,4.5,2.842,8.45,6,22,473,39,37,127
"museum",42,4.333333333,4.6,2.9745,8.55,6,16,NA,28,25,65
"mushroom",37,5.333333333,4.83,2.0414,6.44,8,22,NA,26,24,87
"musician",43,4.47826087,4.42,2.49,7.11,8,NA,NA,31,29,89
"musket",29,5.217391304,4.67,1.7076,10.17,6,NA,NA,30,25,59
"mustache",31,5.620689655,4.9,2.4031,NA,8,9,NA,26,21,63
"mustard",36,5.8,4.93,2.5185,4.95,7,10,181,38,32,81
"mutt",48,4.958333333,3.89,2.3075,7.22,4,NA,NA,34,26,89
"mutton",22,5,4.25,1.6128,13.15,6,14,NA,27,21,49
"muzzle",27,4.391304348,4.59,1.9138,8.44,6,NA,NA,33,28,47
"myself",67,5.038461538,2.97,4.2423,3.81,6,NA,NA,29,23,101
"nail",31,5.541666667,4.93,2.9786,5.42,4,6,164,25,23,71
"nameplate",30,4.84,4.52,0.9031,9.89,9,NA,NA,26,20,50
"nanny",23,4.6,4.21,2.7259,6.67,5,NA,NA,31,25,63
"napkin",34,6.333333333,4.93,2.2672,4.79,6,19,100,27,26,73
"narcotics",49,4.956521739,4.59,2.42,12.39,9,NA,NA,37,29,86
"neck",42,6.12,5,3.4823,3,4,19,391,36,33,83
"neckband",24,5.217391304,4.77,0.301,9.78,8,NA,NA,31,22,35
"neckerchief",32,5.347826087,4.5,0.4771,9.65,11,NA,NA,28,25,67
"necklace",31,5.821428571,4.96,2.6972,5,8,12,138,37,27,87
"necktie",30,6.043478261,4.96,1.7924,6.63,7,NA,NA,33,23,58
"neckwear",31,5.652173913,4.56,0.4771,11.58,8,NA,NA,34,27,61
"nectar",43,4.608695652,4.63,1.6812,8.95,6,NA,NA,36,29,90
"needle",30,5.739130435,4.93,2.7846,5.32,6,8,100,60,56,132
"needlepoint",35,4.576923077,4.48,1.4624,9,11,NA,NA,24,24,67
"needlework",31,4.692307692,4.41,1.1761,9.88,10,NA,NA,26,23,55
"negligee",29,4.75,4.48,1.5798,15.92,8,NA,NA,26,22,46
"nephew",39,5.16,4.48,2.9279,6.37,6,11,685,29,23,69
"net",21,5.208333333,4.53,2.8998,7,3,14,113,25,25,50
"nettle",35,4.529411765,3.88,0.9542,14.33,6,NA,NA,25,20,55
"neurologist",32,4.384615385,4.1,1.716,14.22,11,NA,NA,34,26,58
"newlyweds",22,4.772727273,3.79,1.8751,NA,9,NA,NA,32,22,52
"newsagent",38,4.333333333,4.41,0.301,11.11,9,NA,NA,27,22,56
"newsboy",31,4.869565217,4.42,1.1761,7.53,7,NA,NA,25,21,40
"newscaster",21,4.347826087,4.5,1.4771,9.56,10,NA,NA,29,23,43
"newsletter",42,5.826086957,4.66,1.6435,9.42,10,NA,NA,36,31,83
"newsman",35,4.285714286,4.26,1.3222,5.72,7,NA,NA,35,33,66
"newspaper",80,5.76,4.82,3.0824,5.78,9,23,138,39,39,141
"newspaperman",36,4.48,4.5,1.8692,7.5,12,NA,NA,36,31,68
"newsprint",40,4.260869565,4.62,0.9542,10,9,NA,NA,27,24,75
"newsstand",31,5.458333333,4.71,1.7324,9.74,9,7,NA,29,26,65
"newt",29,4.391304348,4.17,1.8388,7.56,4,NA,NA,32,25,54
"nickel",28,5.814814815,4.79,2.6355,5.75,6,10,120,35,29,65
"nightcaps",34,4.708333333,4.07,0.301,NA,9,NA,NA,33,32,78
"nightclub",28,4.409090909,4.96,2.3766,10.74,9,NA,NA,28,26,90
"nightdress",30,5.791666667,4.62,0.699,9.12,10,NA,NA,26,21,66
"nightgown",29,5.92,4.9,2.0043,5.78,9,16,112,25,22,68
"nightie",18,5.62962963,4.3,1.5563,7.82,7,NA,NA,25,20,47
"nightlight",35,4.821428571,4.93,0.699,5.21,10,NA,NA,29,25,59
"nightshirt",29,6.291666667,5,1.0792,6.1,10,NA,NA,27,26,71
"nipple",33,5.625,4.83,2.1614,9.05,6,NA,NA,26,20,42
"noodle",35,6.24,4.71,2.1732,3.44,6,NA,NA,55,52,164
"noose",27,4.708333333,4.52,2.0492,8.28,5,12,NA,26,23,53
"nose",32,6,4.89,3.5512,2.95,4,15,422,26,24,81
"nostril",26,5.208333333,4.89,1.5563,7.37,7,NA,NA,35,33,82
"note",46,5.434782609,4.61,3.4365,6.4,4,16,NA,34,33,91
"notepaper",42,5.392857143,4.78,0.4771,6.39,9,NA,NA,26,25,82
"novel",34,5.4,4.21,2.711,9.5,5,7,NA,28,25,77
"nugget",36,4.826086957,4.45,1.7853,7.32,6,NA,NA,27,23,74
"nun",27,4.666666667,4.92,2.5514,8.39,3,15,652,27,20,38
"nurse",42,5.130434783,4.39,3.3608,5.84,5,10,688,37,32,78
"nursemaid",26,4.583333333,4.5,1.4624,9.75,9,NA,NA,27,23,44
"nursery",29,4.875,4.48,2.3181,6.95,7,10,254,27,21,50
"nut",37,5.555555556,4.52,2.902,5.21,3,14,NA,36,34,105
"nutcracker",32,5.36,4.81,1.5682,7.24,10,NA,NA,59,56,124
"nutmeg",31,4.608695652,4.69,1.5682,8.83,6,NA,NA,28,27,72
"nutshell",24,4.375,4.29,1.6902,6.67,8,NA,NA,28,24,54
"nylon",35,4.928571429,4.7,1.8451,10,5,13,NA,38,24,63
"oar",41,5.307692308,4.84,1.6335,5.83,3,5,104,26,24,68
"oat",22,4.8,5,1.4472,5.83,3,NA,NA,37,27,70
"object",55,6.416666667,3.66,3.1189,7.94,6,17,125,28,21,96
"obstetrician",31,5.04,4.31,1.1461,12.56,12,NA,NA,29,21,52
"ocean",36,5.217391304,4.86,3.1892,4.74,5,17,334,27,23,83
"oceanographer",35,4.44,3.97,0.699,12.74,13,NA,NA,27,24,52
"offspring",48,4.913043478,3.93,2.1173,11.65,9,NA,NA,35,27,75
"oilcan",46,4.782608696,4.62,0.8451,7.59,6,NA,NA,34,33,85
"oilcloth",34,5.125,4.4,0.301,12.53,8,NA,NA,28,22,60
"ointment",27,5.869565217,4.5,1.9243,7.9,8,20,NA,30,26,47
"okra",30,5.269230769,4.78,1.4314,12.61,4,NA,NA,26,26,82
"olive",35,6.173913043,4.9,2.5752,6.68,5,17,NA,29,26,86
"omelet",25,5.6,4.93,2.0864,6.5,6,4,NA,57,50,138
"onion",34,5.476190476,4.86,2.3365,6.05,5,15,412,32,29,109
"opal",25,4.6,4.42,1.7243,9.28,4,NA,NA,29,20,34
"ophthalmologist",38,4.423076923,4.32,1.1761,11.35,15,NA,NA,26,24,52
"opium",41,4.269230769,4.56,2.0607,12.41,5,NA,NA,31,27,64
"optician",27,4.851851852,4.68,0.699,11.24,8,NA,NA,27,22,52
"orange",40,5.08,4.66,3.0565,3.26,6,14,476,34,26,94
"orchard",33,4.333333333,4.75,1.9956,7.67,7,10,512,30,24,57
"orchid",26,4.68,4.92,2.0453,9.76,6,7,NA,28,20,50
"ore",31,4.375,4.48,1.9294,11.12,3,8,NA,26,20,43
"oregano",28,5.64,4.81,1.6335,10.88,7,13,328,35,30,69
"organ",44,5.185185185,4.77,2.5694,8.72,5,12,463,28,25,78
"organism",27,4.727272727,4.16,2.0212,10.61,8,NA,NA,26,21,40
"orgy",28,4.782608696,3.67,1.9445,13.95,4,NA,NA,26,24,46
"ornament",34,6.181818182,4.04,1.7709,6.1,8,9,108,34,30,90
"orphan",37,5.259259259,4.04,2.4683,6.94,6,NA,NA,34,23,67
"orthodontist",27,4.916666667,4.43,1.415,10.26,12,6,675,25,19,40
"ottoman",28,5.833333333,4.9,1.2304,10.94,7,NA,NA,27,23,79
"outfielder",20,4.6,4.67,0.7782,8.1,10,NA,NA,26,20,36
"outfit",56,6.130434783,4.12,3.1075,7,6,12,108,34,28,104
"outhouse",26,4.64,4.89,1.5911,7.9,8,NA,NA,31,22,47
"outlet",23,4.541666667,4.31,2.0128,8.32,6,12,NA,32,30,59
"oven",21,5.923076923,4.97,2.6571,5.67,4,9,100,24,24,63
"overcoat",31,6.52,4.5,1.8751,8.95,8,NA,NA,37,32,79
"oxtail",26,4.444444444,4.5,0.301,12.29,6,NA,NA,30,22,49
"oyster",25,5.407407407,4.85,2.1959,8,6,14,660,25,21,54
"pacemaker",28,4.363636364,4.68,1.5911,12.42,9,NA,NA,32,25,50
"pacifier",32,6.090909091,4.61,1.3222,4.56,8,NA,NA,32,31,72
"package",46,5.75,4.72,3.0656,6.61,7,19,124,28,25,99
"packaging",39,5.038461538,4.44,1.6435,8.89,9,NA,NA,29,28,71
"packet",42,4.52173913,4.46,2.1106,8.94,6,NA,NA,32,25,63
"pad",39,5.217391304,4.43,2.6191,8.83,3,13,NA,33,30,68
"padding",38,4.925925926,4.52,1.699,8.45,7,16,NA,28,26,69
"paddle",33,5.68,4.8,2.2833,6.58,6,14,NA,27,25,62
"padlock",24,6.08,4.92,1.5563,8.84,7,NA,NA,26,21,48
"page",37,4.96,4.9,3.2817,5.16,4,10,150,31,30,88
"pail",37,4.772727273,4.93,1.6902,6.16,4,7,NA,28,28,87
"painkiller",31,5.518518519,4.18,1.4472,11.59,10,NA,NA,29,24,50
"paint",35,5.090909091,4.79,3.2737,4.45,5,16,NA,26,24,56
"paintbox",27,4.44,4.65,0.7782,6.35,8,NA,NA,28,26,66
"paintbrush",32,5.56,4.79,1.4472,6.22,10,NA,NA,27,27,83
"pajamas",25,6.222222222,4.73,2.4742,3.48,7,15,NA,61,59,142
"pal",40,4.333333333,3.93,3.4681,5.74,3,4,654,34,27,82
"pallet",31,4.36,4.59,1.3424,12,6,NA,NA,26,22,56
"palm",49,5.44,4.83,2.8299,6,4,8,423,29,24,89
"pamphlet",49,5.565217391,4.61,1.7853,9.5,8,NA,NA,28,26,100
"pan",44,6.409090909,4.86,2.798,4.72,3,13,105,37,34,109
"panhandler",30,4.92,4,1.1761,13.12,10,NA,NA,37,27,55
"pantaloons",29,4.695652174,4.79,1.0792,NA,10,NA,NA,28,26,64
"panties",26,5.791666667,4.9,2.618,5.75,7,NA,NA,29,26,63
"pantry",14,5.260869565,4.67,1.9542,8.17,6,NA,NA,32,29,51
"pants",36,6.333333333,4.86,3.4767,3.23,5,22,100,27,24,78
"paper",61,5.695652174,4.93,3.722,4,5,15,107,36,34,178
"paperback",39,5.090909091,4.57,1.3802,7.94,9,NA,NA,34,25,80
"paperhanger",23,4.625,4.04,0.9542,10.71,11,NA,NA,29,26,49
"paperweight",23,5.291666667,4.78,1.3424,6.72,11,NA,NA,27,24,55
"paprika",31,4.428571429,5,1.6232,9.63,7,NA,NA,31,31,76
"parachute",42,4.68,4.78,2.2122,7,9,NA,NA,26,24,70
"parachutist",30,4.6,4.3,0.9542,11.11,11,NA,NA,27,25,44
"parakeet",38,5.12,4.9,1.7482,6.53,8,NA,NA,31,25,64
"paraphernalia",28,4.5,3.67,1.5051,13.27,13,NA,NA,28,19,47
"paratrooper",42,4.291666667,4.89,1.2304,13.41,11,NA,NA,27,24,56
"parcel",39,5.583333333,4.81,1.8573,10.67,6,14,108,27,21,67
"parchment",32,4.681818182,4.48,1.6021,10.5,9,NA,NA,27,24,65
"parent",45,5.04,4.56,2.8267,4.22,6,10,685,27,26,73
"parka",30,5.875,4.65,1.5051,10.32,5,NA,NA,31,28,71
"parsley",37,5.434782609,4.77,1.6435,8.95,7,29,450,28,26,95
"parsnip",32,5.666666667,4.85,0.699,10.75,7,NA,NA,26,23,76
"partner",49,5.230769231,3.53,3.584,5.85,7,17,657,38,32,103
"passenger",28,5.08,4.34,2.7404,6.65,9,10,658,30,19,41
"passionflower",24,4.782608696,4.72,0.301,NA,13,NA,NA,27,22,55
"passport",30,5,5,2.7284,12.16,8,NA,NA,27,26,52
"pasta",33,5.72,4.86,2.3365,5.78,5,13,NA,29,25,84
"pastrami",17,5.142857143,4.74,1.699,8.42,8,NA,NA,26,22,41
"pastry",41,6.086956522,4.97,1.9956,7.21,6,22,NA,30,26,99
"path",30,4.37037037,4.41,3.098,6.11,4,12,126,34,28,73
"patrolman",36,4.814814815,4.67,1.7993,9.5,9,NA,NA,35,31,63
"paw",38,5,4.3,2.2041,5.89,3,13,NA,27,24,60
"pea",38,5.777777778,4.9,2.301,3.95,3,NA,NA,33,31,98
"peach",22,5.88,4.9,2.5119,4.21,5,10,492,27,25,61
"peacock",36,4.8,5,2.4183,5.76,7,NA,NA,32,25,67
"peanut",27,6.192307692,4.89,2.8,5,6,15,392,34,28,67
"peanuts",42,6.12,4.9,2.5866,4.72,7,23,NA,31,31,111
"pear",35,5.72,4.93,1.8388,4,4,9,412,26,24,74
"pearl",28,5.555555556,4.87,2.9031,6.28,5,14,177,25,20,59
"peashooter",24,4.84,4.28,0.6021,9.79,10,NA,NA,28,24,43
"pebble",24,5.47826087,4.86,1.8195,5.68,6,4,104,29,26,64
"pecan",29,5.5,4.87,1.6902,6.8,5,6,NA,27,24,79
"pedal",33,5.04,4.44,2.0212,6.5,5,11,150,31,30,69
"pedestal",37,4.88,4.48,1.8325,10.8,8,NA,NA,31,27,68
"pedestrian",18,4.962962963,4.41,1.8573,9.75,10,9,670,26,25,49
"pedicurist",39,5.137931034,4.04,0.4771,14.76,10,NA,NA,32,27,70
"pedometer",26,5.681818182,4.93,0.301,14.06,9,NA,NA,25,24,50
"peel",18,4.458333333,4.61,2.4378,6.05,4,10,NA,25,20,36
"peelings",23,4.652173913,4.27,0.7782,6.44,8,NA,NA,34,24,47
"peephole",28,4.875,4.74,1.3979,9.35,8,NA,NA,24,23,53
"peg",26,4.391304348,4.93,3.269,6.83,3,NA,NA,25,24,45
"pegboard",23,5.04,4.93,0.301,8.32,8,NA,NA,30,23,41
"pellet",33,4.296296296,4.56,1.8325,10.18,6,NA,NA,28,25,61
"pelvis",39,5.72,4.93,2.017,9.95,6,NA,NA,28,25,63
"pen",39,6.64,4.92,3.1011,5.11,3,4,104,27,27,94
"pencil",39,5.869565217,4.88,2.7024,4.06,6,9,112,37,36,118
